INVNRS,ONDERWERP,TERM,URI
57314,Complex,,
57315,Complex,,
57316,Complex,,
57317,Complex,,
57318,Complex,,
57319,Complex,,
57320,Complex,,
57321,Complex,,
57322,Complex,,
57323,Complex,,
57324,Complex,,
57325,Complex,,
57326,Complex,,
57327,Complex,,
57328,Complex,,
57329,Complex,,
57330,Complex,,
57331,Complex,,
57332,Complex,,
57333,Complex,,
57334,Complex,,
57335,Complex,,
57336,Complex,,
57337,Complex,,
57338,Complex,,
57339,Complex,,
57340,Complex,,
57341,Complex,,
57342,Complex,,
57343,Complex,,
57344,Complex,,
57345,Complex,,
57346,Complex,,
57347,Complex,,
57348,Complex,,
57349,Complex,,
57350,Complex,,
57351,Complex,,
57352,Complex,,
57353,Complex,,
57354,Complex,,
57355,Complex,,
57356,Complex,,
57357,Complex,,
57358,Complex,,
57359,Complex,,
57360,Complex,,
57361,Complex,,
57362,Complex,,
57363,Complex,,
57364,Complex,,
57365,Complex,,
57366,Complex,,
57367,N.I.H.B.,,
57368,N.I.H.B.,,
57369,N.I.H.B.,,
57370,N.I.H.B.,,
57371,N.I.H.B.,,
57372,N.I.H.B.,,
57373,N.I.H.B.,,
57374,N.I.H.B.,,
57375,N.I.H.B.,,
57376,N.I.H.B.,,
57377,N.I.H.B.,,
57378,N.I.H.B.,,
57379,N.I.H.B.,,
57381,Gebouw,,
57382,Gebouw,,
57383,Gebouw,,
57384,Verfwerken,,
57385,Verfwerken,,
57386,Verfwerken,,
57387,Verfwerken,,
57388,Verfwerken,,
57389,Diverse,,
57397,Hulp,,
57398,Stadskwekerij,,
57399,Afdeling,,
57400,Keuringsdienst,,
57401,Bank,,
57402,Gebouw,,
57403,"Roeibaan,",,
57404,"Bolsproject,",,
57405,Robben-,,
57406,Chr.,,
57407,Sporthal,,
57408,Brandweerprovisorium,,
57409,Bescherming,,
57410,Complex,,
57411,Centrale,,
57412,Lijnwerkplaats,,
57413,Lijnwerkplaats,,
57414,Centrale,,
57415,Mytyl,,
57416,Stedelijk,,
57417,Stedelijk,,
57418,Centrale,,
57419,Openbare,,
57420,Politiedistrictsbureau,,
57421,School,School,http://vocab.getty.edu/aat/300006495
57422,School,School,http://vocab.getty.edu/aat/300006495
57423,Hoofdbureau,,
57424,Hoofdbureau,,
57425,Bevolkingsregister-Herengracht,,
57426,Stadsreiniging-Bilderdijkkade,,
57427,Stadhuis-O.Z.,,
57428,Brandweerkazerne-Voorburgstraat.,,
57429,Artis-Plantage,,
57430,Artis-Plantage,,
57431,Noorder,,
57432,Wilhelmina,,
57433,Districtspost-Klaprozenweg.,,
57434,School,School,http://vocab.getty.edu/aat/300006495
57435,G.G.&G.D.-Nieuwe,,
57436,Stadsreiniging-Papaverweg.,,
57437,Botenhuis/Kleedaccomodatie,,
57439,Dienstgebouw,,
57448,Dienstgebouw,,
57452,N.I.H.B.,,
57456,N.I.H.B.,,
57458,N.I.H.B.,,
57459,N.I.H.B.,,
57482,Brug,Brug,http://vocab.getty.edu/aat/300007836
57483,Brug,Brug,http://vocab.getty.edu/aat/300007836
57484,N.I.H.B.,,
57485,Brug,Brug,http://vocab.getty.edu/aat/300007836
57486,Brug,Brug,http://vocab.getty.edu/aat/300007836
57487,Brug,Brug,http://vocab.getty.edu/aat/300007836
57488,Brug,Brug,http://vocab.getty.edu/aat/300007836
57489,Brug,Brug,http://vocab.getty.edu/aat/300007836
57490,Brug,Brug,http://vocab.getty.edu/aat/300007836
57491,Brug,Brug,http://vocab.getty.edu/aat/300007836
57492,Brug,Brug,http://vocab.getty.edu/aat/300007836
57493,Brug,Brug,http://vocab.getty.edu/aat/300007836
57494,Brug,Brug,http://vocab.getty.edu/aat/300007836
57495,Brug,Brug,http://vocab.getty.edu/aat/300007836
57496,Brug,Brug,http://vocab.getty.edu/aat/300007836
57497,Brug,Brug,http://vocab.getty.edu/aat/300007836
57498,Brug,Brug,http://vocab.getty.edu/aat/300007836
57499,Brug,Brug,http://vocab.getty.edu/aat/300007836
57513,Brug,Brug,http://vocab.getty.edu/aat/300007836
57521,Wilhelmina,,
57522,Rioolzuiveringsinrichting,,
57523,Artis,Artis,http://vocab.getty.edu/aat/300000348
57524,Metro,,
57525,Parkeergarage,,
57526,Artis,Artis,http://vocab.getty.edu/aat/300000348
57527,"Zuiderkerkgebouw,",,
57528,"Rieibaan,",,
57529,Brandweerprovisorium,,
57530,Gasdrukregelstation,,
57531,"Tandheelkunde,",,
57532,Brug,Brug,http://vocab.getty.edu/aat/300007836
57533,Brug,Brug,http://vocab.getty.edu/aat/300007836
57534,Brug,Brug,http://vocab.getty.edu/aat/300007836
57540,Politiebureau,Politiebureau,http://vocab.getty.edu/aat/300006049
57541,Brug,Brug,http://vocab.getty.edu/aat/300007836
57542,Brug,Brug,http://vocab.getty.edu/aat/300007836
57543,Brug,Brug,http://vocab.getty.edu/aat/300007836
57544,Brug,Brug,http://vocab.getty.edu/aat/300007836
57545,Brug,Brug,http://vocab.getty.edu/aat/300007836
57546,Bestrating,,
57547,Bestrating,,
57548,Bestrating,,
57549,Bestrating,,
57550,Bestrating,,
57551,Bestrating,,
57552,Bestrating,,
57553,Bestrating,,
57560,N.I.H.B.,,
57561,"Lovelingschool,",,
57562,Wibauthuis,,
57563,Brandweer,,
57564,Museum,,
57565,Flevohuis,,
57566,Kantoren,,
57567,Stadhuis,,
57568,Dr.,,
57569,G.G.G.D.,,
57570,Dienstwoning,,
57571,Dienstwoning,,
57572,Mortuarium,,
57573,Kleuterschool,,
57574,G.L.O.School,,
57575,Mavo,,
57576,Speeltuingebouw,,
57577,Parkeergarage,,
57578,Brug,Brug,http://vocab.getty.edu/aat/300007836
57579,Brug,Brug,http://vocab.getty.edu/aat/300007836
57580,Brug,Brug,http://vocab.getty.edu/aat/300007836
57581,Slopen,,
57582,Brug,Brug,http://vocab.getty.edu/aat/300007836
57583,Mortuarium,,
