NR;SCOPEID;URI;STRAATNAAM
474;61282947;https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51;Admiraal De Ruijterweg
475;61295197;https://adamlink.nl/geo/street/admiraal-helfrichstraat/52;Admiraal Helfrichstraat
476;61313513;https://adamlink.nl/geo/street/admiraal-helfrichstraat/52;Admiraal Helfrichstraat
477;61294299;https://adamlink.nl/geo/street/admiraal-helfrichstraat/52;Admiraal Helfrichstraat
478;61298737;https://adamlink.nl/geo/street/admiraal-helfrichstraat/52;Admiraal Helfrichstraat
479;61302533;https://adamlink.nl/geo/street/admiraal-helfrichstraat/52;Admiraal Helfrichstraat
480;61309575;https://adamlink.nl/geo/street/admiraal-helfrichstraat/52;Admiraal Helfrichstraat
481;61279279;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
482;61279281;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
483;61279958;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
484;61280034;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
485;61280130;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
486;61280158;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
487;61280347;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
488;61286868;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
489;61292512;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
490;61292966;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
491;61297690;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
492;61301078;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
493;61301936;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
494;61306033;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
495;61306110;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
496;61278588;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
497;61279076;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
498;61279618;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
499;61279712;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
500;61279806;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
501;61280009;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
502;61280073;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
503;61280133;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
504;61280197;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
505;61280479;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
506;61280996;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
507;61282971;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
508;61283909;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
509;61284959;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
510;61285069;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
511;61285148;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
512;61285961;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
513;61286730;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
514;61286864;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
515;61287048;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
516;61287371;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
517;61287599;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
518;61288371;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
519;61288627;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
520;61288708;https://adamlink.nl/geo/street/admiralengracht/53;Admiralengracht
